Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3728
  P-value: 6.6055e-34
  Number of samples: 987

Common keys (987):
  1. CMU_1:101_alteration (AskQE: 0.0000, Standard: 0.9038)
  2. CMU_1:101_synonym (AskQE: 16.6667, Standard: 0.7154)
  3. CMU_1:104_alteration (AskQE: 38.4210, Standard: 0.6956)
  4. CMU_1:104_synonym (AskQE: 88.2637, Standard: 0.8763)
  5. CMU_1:105_alteration (AskQE: 35.8680, Standard: 0.8209)
  6. CMU_1:105_synonym (AskQE: 100.0000, Standard: 1.0000)
  7. CMU_1:125_alteration (AskQE: 100.0000, Standard: 0.8814)
  8. CMU_1:125_synonym (AskQE: 100.0000, Standard: 1.0000)
  9. CMU_1:12_alteration (AskQE: 12.6270, Standard: 0.7411)
  10. CMU_1:12_synonym (AskQE: 38.5202, Standard: 0.9710)
  11. CMU_1:34_alteration (AskQE: 0.0000, Standard: 0.6120)
  12. CMU_1:34_synonym (AskQE: 100.0000, Standard: 0.6742)
  13. CMU_1:42_alteration (AskQE: 24.1803, Standard: 0.6170)
  14. CMU_1:42_synonym (AskQE: 1.5892, Standard: 0.3628)
  15. CMU_1:48_alteration (AskQE: 0.0000, Standard: 0.7846)
  16. CMU_1:48_synonym (AskQE: 0.0000, Standard: 0.4340)
  17. CMU_1:52_alteration (AskQE: 50.0000, Standard: 0.7911)
  18. CMU_1:52_synonym (AskQE: 100.0000, Standard: 0.9342)
  19. CMU_1:59_alteration (AskQE: 50.0000, Standard: 0.8014)
  20. CMU_1:59_synonym (AskQE: 100.0000, Standard: 0.8805)
  21. CMU_1:67_alteration (AskQE: 35.3837, Standard: 0.7965)
  22. CMU_1:67_synonym (AskQE: 100.0000, Standard: 0.9917)
  23. CMU_1:68_alteration (AskQE: 11.3916, Standard: 0.7927)
  24. CMU_1:68_synonym (AskQE: 33.9660, Standard: 0.8293)
  25. CMU_1:6_alteration (AskQE: 0.0000, Standard: 0.7489)
  26. CMU_1:6_synonym (AskQE: 100.0000, Standard: 0.7886)
  27. CMU_1:75_alteration (AskQE: 15.5032, Standard: 0.8435)
  28. CMU_1:75_synonym (AskQE: 45.5032, Standard: 0.8909)
  29. CMU_1:78_alteration (AskQE: 0.0000, Standard: 0.5045)
  30. CMU_1:78_synonym (AskQE: 0.0000, Standard: 0.4699)
  31. CMU_1:88_alteration (AskQE: 33.3333, Standard: 0.7573)
  32. CMU_1:88_synonym (AskQE: 0.0000, Standard: 0.8074)
  33. CMU_1:94_alteration (AskQE: 15.5804, Standard: 0.8943)
  34. CMU_1:94_synonym (AskQE: 28.9984, Standard: 0.9691)
  35. PubMed_10:1000_alteration (AskQE: 10.2798, Standard: 0.8336)
  36. PubMed_10:1000_synonym (AskQE: 13.4634, Standard: 0.9166)
  37. PubMed_10:1002_alteration (AskQE: 27.3157, Standard: 0.9056)
  38. PubMed_10:1002_synonym (AskQE: 40.4814, Standard: 0.9283)
  39. PubMed_10:1003_alteration (AskQE: 56.6132, Standard: 0.9006)
  40. PubMed_10:1003_synonym (AskQE: 65.4790, Standard: 0.9324)
  41. PubMed_10:1004_alteration (AskQE: 9.3026, Standard: 0.8373)
  42. PubMed_10:1004_synonym (AskQE: 22.5115, Standard: 0.8576)
  43. PubMed_10:1007_alteration (AskQE: 38.4746, Standard: 0.8352)
  44. PubMed_10:1007_synonym (AskQE: 60.2862, Standard: 0.8960)
  45. PubMed_10:1009_alteration (AskQE: 10.6491, Standard: 0.8665)
  46. PubMed_10:1009_synonym (AskQE: 33.3333, Standard: 0.8844)
  47. PubMed_10:1012_alteration (AskQE: 56.3112, Standard: 0.8674)
  48. PubMed_10:1012_synonym (AskQE: 58.6758, Standard: 0.9416)
  49. PubMed_10:1015_alteration (AskQE: 100.0000, Standard: 0.8600)
  50. PubMed_10:1015_synonym (AskQE: 5.6921, Standard: 0.9006)
  51. PubMed_10:1024_alteration (AskQE: 67.0711, Standard: 0.9742)
  52. PubMed_10:1024_synonym (AskQE: 78.8368, Standard: 0.9778)
  53. PubMed_10:1025_alteration (AskQE: 56.4054, Standard: 0.8843)
  54. PubMed_10:1025_synonym (AskQE: 53.8899, Standard: 0.9406)
  55. PubMed_10:1027_alteration (AskQE: 30.3612, Standard: 0.9134)
  56. PubMed_10:1027_synonym (AskQE: 62.7319, Standard: 0.9489)
  57. PubMed_10:1029_alteration (AskQE: 11.1014, Standard: 0.8735)
  58. PubMed_10:1029_synonym (AskQE: 21.6711, Standard: 0.9328)
  59. PubMed_10:1030_alteration (AskQE: 16.8107, Standard: 0.9276)
  60. PubMed_10:1030_synonym (AskQE: 30.0883, Standard: 0.8945)
  61. PubMed_10:1033_alteration (AskQE: 18.9831, Standard: 0.8856)
  62. PubMed_10:1033_synonym (AskQE: 23.1042, Standard: 0.9340)
  63. PubMed_10:1042_alteration (AskQE: 18.9862, Standard: 0.8704)
  64. PubMed_10:1042_synonym (AskQE: 20.5011, Standard: 0.9424)
  65. PubMed_10:1043_alteration (AskQE: 14.2429, Standard: 0.9153)
  66. PubMed_10:1043_synonym (AskQE: 42.7287, Standard: 0.9806)
  67. PubMed_10:1046_alteration (AskQE: 1.6233, Standard: 0.8453)
  68. PubMed_10:1046_synonym (AskQE: 5.8605, Standard: 0.9096)
  69. PubMed_10:1047_alteration (AskQE: 0.0000, Standard: 0.8897)
  70. PubMed_10:1047_synonym (AskQE: 0.0000, Standard: 0.5668)
  71. PubMed_10:1049_alteration (AskQE: 26.0996, Standard: 0.9009)
  72. PubMed_10:1049_synonym (AskQE: 39.9140, Standard: 0.9499)
  73. PubMed_10:1051_alteration (AskQE: 26.3960, Standard: 0.8946)
  74. PubMed_10:1051_synonym (AskQE: 43.3347, Standard: 0.9487)
  75. PubMed_10:1052_alteration (AskQE: 39.3415, Standard: 0.8908)
  76. PubMed_10:1052_synonym (AskQE: 59.1587, Standard: 0.9336)
  77. PubMed_10:1053_alteration (AskQE: 15.1199, Standard: 0.8609)
  78. PubMed_10:1053_synonym (AskQE: 33.2563, Standard: 0.9072)
  79. PubMed_10:856_alteration (AskQE: 57.5180, Standard: 0.9081)
  80. PubMed_10:856_synonym (AskQE: 68.2508, Standard: 0.9495)
  81. PubMed_10:858_alteration (AskQE: 32.0729, Standard: 0.9170)
  82. PubMed_10:858_synonym (AskQE: 38.3940, Standard: 0.9612)
  83. PubMed_10:860_alteration (AskQE: 20.9635, Standard: 0.9213)
  84. PubMed_10:860_synonym (AskQE: 61.9390, Standard: 0.9502)
  85. PubMed_10:862_alteration (AskQE: 66.6667, Standard: 0.8957)
  86. PubMed_10:862_synonym (AskQE: 100.0000, Standard: 0.9272)
  87. PubMed_10:864_alteration (AskQE: 50.0000, Standard: 0.8302)
  88. PubMed_10:864_synonym (AskQE: 53.2836, Standard: 0.8675)
  89. PubMed_10:868_alteration (AskQE: 17.5265, Standard: 0.8757)
  90. PubMed_10:868_synonym (AskQE: 16.2212, Standard: 0.8924)
  91. PubMed_10:873_alteration (AskQE: 64.1160, Standard: 0.9143)
  92. PubMed_10:873_synonym (AskQE: 58.4466, Standard: 0.9380)
  93. PubMed_10:875_alteration (AskQE: 14.5772, Standard: 0.9044)
  94. PubMed_10:875_synonym (AskQE: 17.7078, Standard: 0.9316)
  95. PubMed_10:879_alteration (AskQE: 59.1032, Standard: 0.9459)
