Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2064
  P-value: 3.2979e-25
  Number of samples: 2473

Common keys (2473):
  1. CMU_1:101_alteration (AskQE: 0.0000, Standard: 0.7020)
  2. CMU_1:101_expansion_impact (AskQE: 9.1720, Standard: 0.7430)
  3. CMU_1:101_expansion_noimpact (AskQE: 0.0000, Standard: 0.7740)
  4. CMU_1:101_spelling (AskQE: 53.9082, Standard: 0.5130)
  5. CMU_1:101_synonym (AskQE: 16.6667, Standard: 0.6320)
  6. CMU_1:104_alteration (AskQE: 38.4210, Standard: 0.6390)
  7. CMU_1:104_expansion_impact (AskQE: 7.8208, Standard: 0.6790)
  8. CMU_1:104_expansion_noimpact (AskQE: 46.9249, Standard: 0.6320)
  9. CMU_1:104_spelling (AskQE: 24.1467, Standard: 0.5490)
  10. CMU_1:104_synonym (AskQE: 88.2637, Standard: 0.7370)
  11. CMU_1:105_alteration (AskQE: 35.8680, Standard: 0.9050)
  12. CMU_1:105_expansion_impact (AskQE: 75.0000, Standard: 0.9210)
  13. CMU_1:105_expansion_noimpact (AskQE: 87.5000, Standard: 0.8940)
  14. CMU_1:105_spelling (AskQE: 100.0000, Standard: 0.9380)
  15. CMU_1:105_synonym (AskQE: 100.0000, Standard: 0.9110)
  16. CMU_1:125_alteration (AskQE: 100.0000, Standard: 0.7480)
  17. CMU_1:125_expansion_impact (AskQE: 63.7580, Standard: 0.7750)
  18. CMU_1:125_expansion_noimpact (AskQE: 100.0000, Standard: 0.8400)
  19. CMU_1:125_spelling (AskQE: 100.0000, Standard: 0.8450)
  20. CMU_1:125_synonym (AskQE: 100.0000, Standard: 0.8460)
  21. CMU_1:12_alteration (AskQE: 12.6270, Standard: 0.7940)
  22. CMU_1:12_expansion_impact (AskQE: 28.9125, Standard: 0.8160)
  23. CMU_1:12_expansion_noimpact (AskQE: 9.3506, Standard: 0.8130)
  24. CMU_1:12_spelling (AskQE: 46.7861, Standard: 0.7360)
  25. CMU_1:12_synonym (AskQE: 38.5202, Standard: 0.8010)
  26. CMU_1:34_alteration (AskQE: 0.0000, Standard: 0.5880)
  27. CMU_1:34_expansion_impact (AskQE: 100.0000, Standard: 0.5660)
  28. CMU_1:34_expansion_noimpact (AskQE: 100.0000, Standard: 0.6360)
  29. CMU_1:34_spelling (AskQE: 100.0000, Standard: 0.6550)
  30. CMU_1:34_synonym (AskQE: 100.0000, Standard: 0.6010)
  31. CMU_1:42_alteration (AskQE: 24.1803, Standard: 0.4620)
  32. CMU_1:42_expansion_impact (AskQE: 12.0296, Standard: 0.6330)
  33. CMU_1:42_expansion_noimpact (AskQE: 30.9932, Standard: 0.6470)
  34. CMU_1:42_spelling (AskQE: 39.7569, Standard: 0.4240)
  35. CMU_1:42_synonym (AskQE: 1.5892, Standard: 0.4000)
  36. CMU_1:48_alteration (AskQE: 0.0000, Standard: 0.6960)
  37. CMU_1:48_expansion_impact (AskQE: 0.0000, Standard: 0.6770)
  38. CMU_1:48_expansion_noimpact (AskQE: 0.0000, Standard: 0.7270)
  39. CMU_1:48_spelling (AskQE: 0.0000, Standard: 0.2940)
  40. CMU_1:48_synonym (AskQE: 0.0000, Standard: 0.4020)
  41. CMU_1:52_alteration (AskQE: 50.0000, Standard: 0.5340)
  42. CMU_1:52_expansion_impact (AskQE: 50.0000, Standard: 0.7740)
  43. CMU_1:52_expansion_noimpact (AskQE: 50.0000, Standard: 0.7430)
  44. CMU_1:52_spelling (AskQE: 100.0000, Standard: 0.5870)
