Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3186
  P-value: 1.8872e-59
  Number of samples: 2473

Common keys (2473):
  1. CMU_1:101_alteration (AskQE: 7.2670, Standard: 0.9038)
  2. CMU_1:101_expansion_impact (AskQE: 24.8425, Standard: 0.9278)
  3. CMU_1:101_expansion_noimpact (AskQE: 7.2670, Standard: 0.9098)
  4. CMU_1:101_spelling (AskQE: 75.6084, Standard: 0.9831)
  5. CMU_1:101_synonym (AskQE: 34.1210, Standard: 0.7154)
  6. CMU_1:104_alteration (AskQE: 70.8055, Standard: 0.6956)
  7. CMU_1:104_expansion_impact (AskQE: 22.5759, Standard: 0.8490)
  8. CMU_1:104_expansion_noimpact (AskQE: 75.4319, Standard: 0.8783)
  9. CMU_1:104_spelling (AskQE: 46.2568, Standard: 0.6104)
  10. CMU_1:104_synonym (AskQE: 91.2614, Standard: 0.8763)
  11. CMU_1:105_alteration (AskQE: 41.2747, Standard: 0.8209)
  12. CMU_1:105_expansion_impact (AskQE: 75.7508, Standard: 0.9353)
  13. CMU_1:105_expansion_noimpact (AskQE: 86.4665, Standard: 0.9065)
  14. CMU_1:105_spelling (AskQE: 100.0000, Standard: 0.9578)
  15. CMU_1:105_synonym (AskQE: 100.0000, Standard: 1.0000)
  16. CMU_1:125_alteration (AskQE: 100.0000, Standard: 0.8814)
  17. CMU_1:125_expansion_impact (AskQE: 66.1276, Standard: 0.8927)
  18. CMU_1:125_expansion_noimpact (AskQE: 100.0000, Standard: 0.9227)
  19. CMU_1:125_spelling (AskQE: 100.0000, Standard: 1.0000)
  20. CMU_1:125_synonym (AskQE: 100.0000, Standard: 1.0000)
  21. CMU_1:12_alteration (AskQE: 43.0729, Standard: 0.7411)
  22. CMU_1:12_expansion_impact (AskQE: 46.2090, Standard: 0.8959)
  23. CMU_1:12_expansion_noimpact (AskQE: 34.7372, Standard: 0.9217)
  24. CMU_1:12_spelling (AskQE: 60.2601, Standard: 0.8000)
  25. CMU_1:12_synonym (AskQE: 53.7845, Standard: 0.9710)
  26. CMU_1:34_alteration (AskQE: 0.0000, Standard: 0.6120)
  27. CMU_1:34_expansion_impact (AskQE: 100.0000, Standard: 0.6627)
  28. CMU_1:34_expansion_noimpact (AskQE: 100.0000, Standard: 0.7062)
  29. CMU_1:34_spelling (AskQE: 100.0000, Standard: 0.7053)
  30. CMU_1:34_synonym (AskQE: 100.0000, Standard: 0.6742)
  31. CMU_1:42_alteration (AskQE: 36.5705, Standard: 0.6170)
  32. CMU_1:42_expansion_impact (AskQE: 31.3480, Standard: 0.8422)
  33. CMU_1:42_expansion_noimpact (AskQE: 58.2061, Standard: 0.8962)
  34. CMU_1:42_spelling (AskQE: 54.4167, Standard: 0.7012)
  35. CMU_1:42_synonym (AskQE: 17.3311, Standard: 0.3628)
  36. CMU_1:48_alteration (AskQE: 8.1081, Standard: 0.7846)
  37. CMU_1:48_expansion_impact (AskQE: 13.6592, Standard: 0.8219)
  38. CMU_1:48_expansion_noimpact (AskQE: 5.9524, Standard: 0.8356)
  39. CMU_1:48_spelling (AskQE: 6.2500, Standard: 0.2804)
