Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2772
  P-value: 7.1113e-19
  Number of samples: 987

Common keys (987):
  1. CMU_1:101_alteration (AskQE: 7.2670, Standard: 0.7020)
  2. CMU_1:101_synonym (AskQE: 34.1210, Standard: 0.6320)
  3. CMU_1:104_alteration (AskQE: 70.8055, Standard: 0.6390)
  4. CMU_1:104_synonym (AskQE: 91.2614, Standard: 0.7370)
  5. CMU_1:105_alteration (AskQE: 41.2747, Standard: 0.9050)
  6. CMU_1:105_synonym (AskQE: 100.0000, Standard: 0.9110)
  7. CMU_1:125_alteration (AskQE: 100.0000, Standard: 0.7480)
  8. CMU_1:125_synonym (AskQE: 100.0000, Standard: 0.8460)
  9. CMU_1:12_alteration (AskQE: 43.0729, Standard: 0.7940)
  10. CMU_1:12_synonym (AskQE: 53.7845, Standard: 0.8010)
  11. CMU_1:34_alteration (AskQE: 0.0000, Standard: 0.5880)
  12. CMU_1:34_synonym (AskQE: 100.0000, Standard: 0.6010)
  13. CMU_1:42_alteration (AskQE: 36.5705, Standard: 0.4620)
  14. CMU_1:42_synonym (AskQE: 17.3311, Standard: 0.4000)
  15. CMU_1:48_alteration (AskQE: 8.1081, Standard: 0.6960)
  16. CMU_1:48_synonym (AskQE: 6.5455, Standard: 0.4020)
  17. CMU_1:52_alteration (AskQE: 50.0000, Standard: 0.5340)
  18. CMU_1:52_synonym (AskQE: 100.0000, Standard: 0.7520)
  19. CMU_1:59_alteration (AskQE: 50.0000, Standard: 0.7330)
  20. CMU_1:59_synonym (AskQE: 100.0000, Standard: 0.7720)
  21. CMU_1:67_alteration (AskQE: 67.3357, Standard: 0.6890)
  22. CMU_1:67_synonym (AskQE: 100.0000, Standard: 0.7510)
  23. CMU_1:68_alteration (AskQE: 25.8910, Standard: 0.4480)
  24. CMU_1:68_synonym (AskQE: 41.9061, Standard: 0.6590)
  25. CMU_1:6_alteration (AskQE: 11.4789, Standard: 0.5220)
  26. CMU_1:6_synonym (AskQE: 100.0000, Standard: 0.6190)
  27. CMU_1:75_alteration (AskQE: 43.4732, Standard: 0.4910)
  28. CMU_1:75_synonym (AskQE: 54.7839, Standard: 0.6830)
  29. CMU_1:78_alteration (AskQE: 5.7292, Standard: 0.3910)
  30. CMU_1:78_synonym (AskQE: 5.7292, Standard: 0.3660)
  31. CMU_1:88_alteration (AskQE: 38.4714, Standard: 0.6370)
  32. CMU_1:88_synonym (AskQE: 23.4253, Standard: 0.4640)
  33. CMU_1:94_alteration (AskQE: 25.9025, Standard: 0.7410)
  34. CMU_1:94_synonym (AskQE: 60.4229, Standard: 0.7360)
  35. PubMed_10:1000_alteration (AskQE: 49.2845, Standard: 0.6870)
