Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: em (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.1659
  P-value: 1.0146e-16
  Number of samples: 2473

Common keys (2473):
  1. CMU_1:101_alteration (AskQE: 0.0000, Standard: 0.9038)
  2. CMU_1:101_expansion_impact (AskQE: 0.0000, Standard: 0.9278)
  3. CMU_1:101_expansion_noimpact (AskQE: 0.0000, Standard: 0.9098)
  4. CMU_1:101_spelling (AskQE: 0.3333, Standard: 0.9831)
  5. CMU_1:101_synonym (AskQE: 0.0000, Standard: 0.7154)
  6. CMU_1:104_alteration (AskQE: 0.0000, Standard: 0.6956)
  7. CMU_1:104_expansion_impact (AskQE: 0.0000, Standard: 0.8490)
  8. CMU_1:104_expansion_noimpact (AskQE: 0.0000, Standard: 0.8783)
  9. CMU_1:104_spelling (AskQE: 0.0000, Standard: 0.6104)
  10. CMU_1:104_synonym (AskQE: 0.6667, Standard: 0.8763)
  11. CMU_1:105_alteration (AskQE: 0.2500, Standard: 0.8209)
  12. CMU_1:105_expansion_impact (AskQE: 0.7500, Standard: 0.9353)
  13. CMU_1:105_expansion_noimpact (AskQE: 0.7500, Standard: 0.9065)
  14. CMU_1:105_spelling (AskQE: 1.0000, Standard: 0.9578)
  15. CMU_1:105_synonym (AskQE: 1.0000, Standard: 1.0000)
  16. CMU_1:125_alteration (AskQE: 1.0000, Standard: 0.8814)
  17. CMU_1:125_expansion_impact (AskQE: 0.5000, Standard: 0.8927)
  18. CMU_1:125_expansion_noimpact (AskQE: 1.0000, Standard: 0.9227)
  19. CMU_1:125_spelling (AskQE: 1.0000, Standard: 1.0000)
  20. CMU_1:125_synonym (AskQE: 1.0000, Standard: 1.0000)
  21. CMU_1:12_alteration (AskQE: 0.0000, Standard: 0.7411)
  22. CMU_1:12_expansion_impact (AskQE: 0.2500, Standard: 0.8959)
  23. CMU_1:12_expansion_noimpact (AskQE: 0.0000, Standard: 0.9217)
  24. CMU_1:12_spelling (AskQE: 0.2500, Standard: 0.8000)
  25. CMU_1:12_synonym (AskQE: 0.0000, Standard: 0.9710)
  26. CMU_1:34_alteration (AskQE: 0.0000, Standard: 0.6120)
  27. CMU_1:34_expansion_impact (AskQE: 1.0000, Standard: 0.6627)
  28. CMU_1:34_expansion_noimpact (AskQE: 1.0000, Standard: 0.7062)
  29. CMU_1:34_spelling (AskQE: 1.0000, Standard: 0.7053)
  30. CMU_1:34_synonym (AskQE: 1.0000, Standard: 0.6742)
  31. CMU_1:42_alteration (AskQE: 0.0000, Standard: 0.6170)
  32. CMU_1:42_expansion_impact (AskQE: 0.0000, Standard: 0.8422)
  33. CMU_1:42_expansion_noimpact (AskQE: 0.0000, Standard: 0.8962)
  34. CMU_1:42_spelling (AskQE: 0.3333, Standard: 0.7012)
  35. CMU_1:42_synonym (AskQE: 0.0000, Standard: 0.3628)
  36. CMU_1:48_alteration (AskQE: 0.0000, Standard: 0.7846)
  37. CMU_1:48_expansion_impact (AskQE: 0.0000, Standard: 0.8219)
  38. CMU_1:48_expansion_noimpact (AskQE: 0.0000, Standard: 0.8356)
  39. CMU_1:48_spelling (AskQE: 0.0000, Standard: 0.2804)
  40. CMU_1:48_synonym (AskQE: 0.0000, Standard: 0.4340)
  41. CMU_1:52_alteration (AskQE: 0.5000, Standard: 0.7911)
  42. CMU_1:52_expansion_impact (AskQE: 0.5000, Standard: 0.9167)
  43. CMU_1:52_expansion_noimpact (AskQE: 0.5000, Standard: 0.8958)
  44. CMU_1:52_spelling (AskQE: 1.0000, Standard: 0.9342)
  45. CMU_1:52_synonym (AskQE: 1.0000, Standard: 0.9342)
  46. CMU_1:59_alteration (AskQE: 0.5000, Standard: 0.8014)
  47. CMU_1:59_expansion_impact (AskQE: 0.7500, Standard: 0.8347)
  48. CMU_1:59_expansion_noimpact (AskQE: 0.7500, Standard: 0.8559)
  49. CMU_1:59_spelling (AskQE: 1.0000, Standard: 0.8462)
  50. CMU_1:59_synonym (AskQE: 1.0000, Standard: 0.8805)
  51. CMU_1:67_alteration (AskQE: 0.2500, Standard: 0.7965)
  52. CMU_1:67_expansion_impact (AskQE: 0.5000, Standard: 0.9211)
  53. CMU_1:67_expansion_noimpact (AskQE: 0.5000, Standard: 0.9248)
  54. CMU_1:67_spelling (AskQE: 1.0000, Standard: 0.9917)
  55. CMU_1:67_synonym (AskQE: 1.0000, Standard: 0.9917)
  56. CMU_1:68_alteration (AskQE: 0.0000, Standard: 0.7927)
  57. CMU_1:68_expansion_impact (AskQE: 0.0000, Standard: 0.8037)
  58. CMU_1:68_expansion_noimpact (AskQE: 0.0000, Standard: 0.8658)
  59. CMU_1:68_spelling (AskQE: 0.0000, Standard: 0.8604)
  60. CMU_1:68_synonym (AskQE: 0.0000, Standard: 0.8293)
  61. CMU_1:6_alteration (AskQE: 0.0000, Standard: 0.7489)
  62. CMU_1:6_expansion_impact (AskQE: 0.0000, Standard: 0.7540)
  63. CMU_1:6_expansion_noimpact (AskQE: 0.3333, Standard: 0.7798)
  64. CMU_1:6_spelling (AskQE: 1.0000, Standard: 0.7633)
  65. CMU_1:6_synonym (AskQE: 1.0000, Standard: 0.7886)
  66. CMU_1:75_alteration (AskQE: 0.0000, Standard: 0.8435)
  67. CMU_1:75_expansion_impact (AskQE: 0.2000, Standard: 0.8766)
  68. CMU_1:75_expansion_noimpact (AskQE: 0.4000, Standard: 0.9201)
  69. CMU_1:75_spelling (AskQE: 0.4000, Standard: 0.6019)
  70. CMU_1:75_synonym (AskQE: 0.4000, Standard: 0.8909)
  71. CMU_1:78_alteration (AskQE: 0.0000, Standard: 0.5045)
  72. CMU_1:78_expansion_impact (AskQE: 0.0000, Standard: 0.5045)
  73. CMU_1:78_expansion_noimpact (AskQE: 0.0000, Standard: 0.4499)
  74. CMU_1:78_spelling (AskQE: 0.0000, Standard: 0.4158)
  75. CMU_1:78_synonym (AskQE: 0.0000, Standard: 0.4699)
  76. CMU_1:88_alteration (AskQE: 0.3333, Standard: 0.7573)
  77. CMU_1:88_expansion_impact (AskQE: 0.0000, Standard: 0.6787)
  78. CMU_1:88_expansion_noimpact (AskQE: 0.3333, Standard: 0.8446)
