Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: f1 (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2829
  P-value: 1.2868e-19
  Number of samples: 987

Common keys (987):
  1. CMU_1:101_alteration (AskQE: 0.0000, Standard: 0.7020)
  2. CMU_1:101_synonym (AskQE: 0.2222, Standard: 0.6320)
  3. CMU_1:104_alteration (AskQE: 0.7302, Standard: 0.6390)
  4. CMU_1:104_synonym (AskQE: 0.9167, Standard: 0.7370)
  5. CMU_1:105_alteration (AskQE: 0.4286, Standard: 0.9050)
  6. CMU_1:105_synonym (AskQE: 1.0000, Standard: 0.9110)
  7. CMU_1:125_alteration (AskQE: 1.0000, Standard: 0.7480)
  8. CMU_1:125_synonym (AskQE: 1.0000, Standard: 0.8460)
  9. CMU_1:12_alteration (AskQE: 0.3449, Standard: 0.7940)
  10. CMU_1:12_synonym (AskQE: 0.6006, Standard: 0.8010)
  11. CMU_1:34_alteration (AskQE: 0.0000, Standard: 0.5880)
  12. CMU_1:34_synonym (AskQE: 1.0000, Standard: 0.6010)
  13. CMU_1:42_alteration (AskQE: 0.3384, Standard: 0.4620)
  14. CMU_1:42_synonym (AskQE: 0.0513, Standard: 0.4000)
  15. CMU_1:48_alteration (AskQE: 0.0000, Standard: 0.6960)
  16. CMU_1:48_synonym (AskQE: 0.0000, Standard: 0.4020)
  17. CMU_1:52_alteration (AskQE: 0.5000, Standard: 0.5340)
  18. CMU_1:52_synonym (AskQE: 1.0000, Standard: 0.7520)
  19. CMU_1:59_alteration (AskQE: 0.5000, Standard: 0.7330)
  20. CMU_1:59_synonym (AskQE: 1.0000, Standard: 0.7720)
  21. CMU_1:67_alteration (AskQE: 0.7083, Standard: 0.6890)
  22. CMU_1:67_synonym (AskQE: 1.0000, Standard: 0.7510)
  23. CMU_1:68_alteration (AskQE: 0.3611, Standard: 0.4480)
  24. CMU_1:68_synonym (AskQE: 0.5333, Standard: 0.6590)
  25. CMU_1:6_alteration (AskQE: 0.0000, Standard: 0.5220)
  26. CMU_1:6_synonym (AskQE: 1.0000, Standard: 0.6190)
  27. CMU_1:75_alteration (AskQE: 0.1800, Standard: 0.4910)
  28. CMU_1:75_synonym (AskQE: 0.4800, Standard: 0.6830)
  29. CMU_1:78_alteration (AskQE: 0.0000, Standard: 0.3910)
  30. CMU_1:78_synonym (AskQE: 0.0000, Standard: 0.3660)
  31. CMU_1:88_alteration (AskQE: 0.3333, Standard: 0.6370)
  32. CMU_1:88_synonym (AskQE: 0.0000, Standard: 0.4640)
  33. CMU_1:94_alteration (AskQE: 0.3386, Standard: 0.7410)
  34. CMU_1:94_synonym (AskQE: 0.5079, Standard: 0.7360)
  35. PubMed_10:1000_alteration (AskQE: 0.4198, Standard: 0.6870)
  36. PubMed_10:1000_synonym (AskQE: 0.3851, Standard: 0.7430)
  37. PubMed_10:1002_alteration (AskQE: 0.3889, Standard: 0.5960)
  38. PubMed_10:1002_synonym (AskQE: 0.5333, Standard: 0.7470)
  39. PubMed_10:1003_alteration (AskQE: 0.6944, Standard: 0.7600)
  40. PubMed_10:1003_synonym (AskQE: 0.7602, Standard: 0.7870)
  41. PubMed_10:1004_alteration (AskQE: 0.1950, Standard: 0.7140)
  42. PubMed_10:1004_synonym (AskQE: 0.4196, Standard: 0.7440)
  43. PubMed_10:1007_alteration (AskQE: 0.6274, Standard: 0.7390)
  44. PubMed_10:1007_synonym (AskQE: 0.7867, Standard: 0.7850)
  45. PubMed_10:1009_alteration (AskQE: 0.1786, Standard: 0.6980)
  46. PubMed_10:1009_synonym (AskQE: 0.3333, Standard: 0.7450)
  47. PubMed_10:1012_alteration (AskQE: 0.7601, Standard: 0.6640)
  48. PubMed_10:1012_synonym (AskQE: 0.7686, Standard: 0.8110)
  49. PubMed_10:1015_alteration (AskQE: 1.0000, Standard: 0.5640)
  50. PubMed_10:1015_synonym (AskQE: 0.2667, Standard: 0.7040)
  51. PubMed_10:1024_alteration (AskQE: 0.7500, Standard: 0.8140)
  52. PubMed_10:1024_synonym (AskQE: 0.8597, Standard: 0.8270)
  53. PubMed_10:1025_alteration (AskQE: 0.6884, Standard: 0.6900)
  54. PubMed_10:1025_synonym (AskQE: 0.6667, Standard: 0.7380)
  55. PubMed_10:1027_alteration (AskQE: 0.4201, Standard: 0.6920)
  56. PubMed_10:1027_synonym (AskQE: 0.6812, Standard: 0.7180)
  57. PubMed_10:1029_alteration (AskQE: 0.3022, Standard: 0.6700)
  58. PubMed_10:1029_synonym (AskQE: 0.2812, Standard: 0.8310)
  59. PubMed_10:1030_alteration (AskQE: 0.3889, Standard: 0.7090)
  60. PubMed_10:1030_synonym (AskQE: 0.6197, Standard: 0.7350)
  61. PubMed_10:1033_alteration (AskQE: 0.4651, Standard: 0.6820)
  62. PubMed_10:1033_synonym (AskQE: 0.4994, Standard: 0.8110)
  63. PubMed_10:1042_alteration (AskQE: 0.4464, Standard: 0.6910)
  64. PubMed_10:1042_synonym (AskQE: 0.3618, Standard: 0.7370)
  65. PubMed_10:1043_alteration (AskQE: 0.2667, Standard: 0.6900)
  66. PubMed_10:1043_synonym (AskQE: 0.8000, Standard: 0.8010)
  67. PubMed_10:1046_alteration (AskQE: 0.0400, Standard: 0.7290)
  68. PubMed_10:1046_synonym (AskQE: 0.1641, Standard: 0.7350)
  69. PubMed_10:1047_alteration (AskQE: 0.0000, Standard: 0.8070)
  70. PubMed_10:1047_synonym (AskQE: 0.0000, Standard: 0.5440)
  71. PubMed_10:1049_alteration (AskQE: 0.5247, Standard: 0.6780)
  72. PubMed_10:1049_synonym (AskQE: 0.5951, Standard: 0.7530)
  73. PubMed_10:1051_alteration (AskQE: 0.5133, Standard: 0.6520)
  74. PubMed_10:1051_synonym (AskQE: 0.5333, Standard: 0.7510)
  75. PubMed_10:1052_alteration (AskQE: 0.5472, Standard: 0.7830)
  76. PubMed_10:1052_synonym (AskQE: 0.7489, Standard: 0.8020)
  77. PubMed_10:1053_alteration (AskQE: 0.4220, Standard: 0.6530)
  78. PubMed_10:1053_synonym (AskQE: 0.5786, Standard: 0.7540)
  79. PubMed_10:856_alteration (AskQE: 0.6971, Standard: 0.7410)
  80. PubMed_10:856_synonym (AskQE: 0.8612, Standard: 0.7870)
  81. PubMed_10:858_alteration (AskQE: 0.6028, Standard: 0.6810)
  82. PubMed_10:858_synonym (AskQE: 0.5346, Standard: 0.7400)
  83. PubMed_10:860_alteration (AskQE: 0.3274, Standard: 0.7720)
  84. PubMed_10:860_synonym (AskQE: 0.6778, Standard: 0.7760)
  85. PubMed_10:862_alteration (AskQE: 0.6667, Standard: 0.7760)
  86. PubMed_10:862_synonym (AskQE: 1.0000, Standard: 0.7840)
  87. PubMed_10:864_alteration (AskQE: 0.5000, Standard: 0.7720)
  88. PubMed_10:864_synonym (AskQE: 0.5909, Standard: 0.7560)
  89. PubMed_10:868_alteration (AskQE: 0.3250, Standard: 0.7250)
  90. PubMed_10:868_synonym (AskQE: 0.2635, Standard: 0.7740)
  91. PubMed_10:873_alteration (AskQE: 0.9214, Standard: 0.6390)
  92. PubMed_10:873_synonym (AskQE: 0.8929, Standard: 0.7210)
  93. PubMed_10:875_alteration (AskQE: 0.4564, Standard: 0.7870)
  94. PubMed_10:875_synonym (AskQE: 0.4873, Standard: 0.8320)
  95. PubMed_10:879_alteration (AskQE: 0.6238, Standard: 0.6180)
  96. PubMed_10:879_synonym (AskQE: 0.6048, Standard: 0.6580)
  97. PubMed_10:880_alteration (AskQE: 0.5129, Standard: 0.6630)
  98. PubMed_10:880_synonym (AskQE: 0.8802, Standard: 0.7500)
  99. PubMed_10:882_alteration (AskQE: 0.8280, Standard: 0.6480)
  100. PubMed_10:882_synonym (AskQE: 0.7700, Standard: 0.7850)
  101. PubMed_10:883_alteration (AskQE: 0.2778, Standard: 0.6580)
  102. PubMed_10:883_synonym (AskQE: 0.3321, Standard: 0.6940)
  103. PubMed_10:886_alteration (AskQE: 0.2614, Standard: 0.7190)
  104. PubMed_10:886_synonym (AskQE: 0.5489, Standard: 0.7170)
  105. PubMed_10:887_alteration (AskQE: 0.5397, Standard: 0.6720)
  106. PubMed_10:887_synonym (AskQE: 0.5531, Standard: 0.6770)
  107. PubMed_10:888_alteration (AskQE: 0.3971, Standard: 0.6380)
  108. PubMed_10:888_synonym (AskQE: 0.5793, Standard: 0.6030)
  109. PubMed_10:889_alteration (AskQE: 0.4143, Standard: 0.6910)
  110. PubMed_10:889_synonym (AskQE: 0.7829, Standard: 0.7420)
  111. PubMed_10:890_alteration (AskQE: 0.8476, Standard: 0.7270)
  112. PubMed_10:890_synonym (AskQE: 0.9143, Standard: 0.7910)
  113. PubMed_10:892_alteration (AskQE: 0.4617, Standard: 0.7750)
  114. PubMed_10:892_synonym (AskQE: 0.5357, Standard: 0.7740)
  115. PubMed_10:894_alteration (AskQE: 0.4217, Standard: 0.6860)
