Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.4133
  P-value: 5.2814e-42
  Number of samples: 987

Common keys (987):
  1. CMU_1:101_alteration (AskQE: 0.4770, Standard: 0.9038)
  2. CMU_1:101_synonym (AskQE: 0.4377, Standard: 0.7154)
  3. CMU_1:104_alteration (AskQE: 0.9216, Standard: 0.6956)
  4. CMU_1:104_synonym (AskQE: 0.9785, Standard: 0.8763)
  5. CMU_1:105_alteration (AskQE: 0.4833, Standard: 0.8209)
  6. CMU_1:105_synonym (AskQE: 1.0000, Standard: 1.0000)
  7. CMU_1:125_alteration (AskQE: 1.0000, Standard: 0.8814)
  8. CMU_1:125_synonym (AskQE: 1.0000, Standard: 1.0000)
  9. CMU_1:12_alteration (AskQE: 0.6999, Standard: 0.7411)
  10. CMU_1:12_synonym (AskQE: 0.7806, Standard: 0.9710)
  11. CMU_1:34_alteration (AskQE: 0.7335, Standard: 0.6120)
  12. CMU_1:34_synonym (AskQE: 1.0000, Standard: 0.6742)
  13. CMU_1:42_alteration (AskQE: 0.7457, Standard: 0.6170)
  14. CMU_1:42_synonym (AskQE: 0.4466, Standard: 0.3628)
  15. CMU_1:48_alteration (AskQE: 0.1243, Standard: 0.7846)
  16. CMU_1:48_synonym (AskQE: 0.2361, Standard: 0.4340)
  17. CMU_1:52_alteration (AskQE: 0.8667, Standard: 0.7911)
  18. CMU_1:52_synonym (AskQE: 1.0000, Standard: 0.9342)
  19. CMU_1:59_alteration (AskQE: 0.8667, Standard: 0.8014)
  20. CMU_1:59_synonym (AskQE: 1.0000, Standard: 0.8805)
  21. CMU_1:67_alteration (AskQE: 0.9018, Standard: 0.7965)
  22. CMU_1:67_synonym (AskQE: 1.0000, Standard: 0.9917)
  23. CMU_1:68_alteration (AskQE: 0.5525, Standard: 0.7927)
  24. CMU_1:68_synonym (AskQE: 0.6992, Standard: 0.8293)
  25. CMU_1:6_alteration (AskQE: 0.1734, Standard: 0.7489)
  26. CMU_1:6_synonym (AskQE: 1.0000, Standard: 0.7886)
  27. CMU_1:75_alteration (AskQE: 0.7429, Standard: 0.8435)
  28. CMU_1:75_synonym (AskQE: 0.7617, Standard: 0.8909)
  29. CMU_1:78_alteration (AskQE: 0.2168, Standard: 0.5045)
  30. CMU_1:78_synonym (AskQE: 0.2168, Standard: 0.4699)
  31. CMU_1:88_alteration (AskQE: 0.5679, Standard: 0.7573)
  32. CMU_1:88_synonym (AskQE: 0.6998, Standard: 0.8074)
  33. CMU_1:94_alteration (AskQE: 0.6593, Standard: 0.8943)
  34. CMU_1:94_synonym (AskQE: 0.9694, Standard: 0.9691)
  35. PubMed_10:1000_alteration (AskQE: 0.7259, Standard: 0.8336)
  36. PubMed_10:1000_synonym (AskQE: 0.6724, Standard: 0.9166)
  37. PubMed_10:1002_alteration (AskQE: 0.5416, Standard: 0.9056)
  38. PubMed_10:1002_synonym (AskQE: 0.8426, Standard: 0.9283)
  39. PubMed_10:1003_alteration (AskQE: 0.8131, Standard: 0.9006)
